job,job_category,count
latent print examiner originally,unemployed,1
latin teacher,teacher,1
law librarian,librarian,1
law library resource center director,director,1
law school career counselor,advisor,1
law school professor administrator,professor,1
lawyer legal recruiter,lawyer,1
learning architect,architect,1
learning development consultant originally,unemployed,1
legal assistant originally,unemployed,1
legal consultant,consultant,1
legal secretary,legal secretary,1
library archives assistant,librarian,1
library circulation clerk,librarian,1
library media center technician,technician,1
library science graduate student,grad student,1
library volunteer coordinator,volunteer,1
junior high school math teacher,misc education,1
junior furman university,student,1
journalist documentary producer,journalist,1
journalist comic originally,unemployed,1
i.t. project manager,manager,1
i.t. security architect,architect,1
i.t. security risk analyst,analyst,1
i.t. specialist,specialist,1
i.t. support specialist,specialist,1
improv actor library worker,librarian,1
income tax specialist,misc government,1
independent contractor,independent contractor,1
independent filmmaker,independent filmmaker,1
informal educator,teacher,1
information coordinator,coordinator,1
information manager,manager,1
innovation project manager,manager,1
library youth services associate,librarian,1
inside sales engineer originally,unemployed,1
instructional technology specialist,specialist,1
intake coordinator,coordinator,1
intellectual property attorney,attorney,1
intelligence educator,teacher,1
intensive english instructor,teacher,1
interior architectural design student,student,1
intern physician,intern physician,1
investigator,investigator,1
investment advisor,advisor,1
irs agent,irs agent,1
jeweler,jeweler,1
jewelry store assistant manager,manager,1
job seeker,job seeker,1
instructional designer,artist/designer,1
private events manager,manager,1
pro sports executive,manager,1
product demonstrator,product demonstrator,1
strategic data analyst,analyst,1
strategy business development executive,manager,1
strategy card game player writer,writer,1
student cultural engagement coordinator,coordinator,1
student emergency room scribe,student,1
student originally,unemployed,1
student sociology,student,1
study-abroad advisor originally,unemployed,1
subrights assistant,subrights assistant,1
substitute teacher stay-at-home dad,unemployed,1
supervisory analyst,analyst,1
sustainability specialist,specialist,1
system developer,system developer,1
systems coordinator,coordinator,1
table game dealer originally,unemployed,1
tax accountant,misc government,1
tax attorney,misc government,1
tax professional,misc government,1
taxonomist,misc government,1
teacher learning support specialist,specialist,1
teacher librarian,librarian,1
teacher originally,unemployed,1
teaching artist,artist/designer,1
tech support retiree,tech support retiree,1
technical consultant,consultant,1
technical project manager,manager,1
technical service manager,manager,1
strategic communications lead,strategic communications lead,1
technical services associate,technical services associate,1
strategic communications associate,strategic communications associate,1
store manager,manager,1
senior risk analyst,student,1
senior sales manager,manager,1
senior u.s. military academy west point,student,1
senior university chicago,student,1
senior university pennsylvania,student,1
senior vanderbilt university,student,1
senior wright state university,student,1
social media producer,social media producer,1
social media specialist,specialist,1
social media web writer,writer,1
software architect,architect,1
software engineer originally,unemployed,1
software entrepreneur,entrepreneur,1
sophomore macalester college,student,1
sophomore mississippi state university,student,1
sophomore rochester institute technology,student,1
sophomore stanford university,student,1
space policy analyst originally,unemployed,1
speaker writer,writer,1
special education teacher,teacher,1
speech-language pathology graduate student,grad student,1
sports information director,director,1
statistician,statistician,1
stay-at-home dad bartender,unemployed,1
stay-at-home mom online adjunct instructor,unemployed,1
stay-at-home mom originally,unemployed,1
stock analyst,analyst,1
store planner,store planner,1
technical writer editor,writer,1
technical writer manager,manager,1
technical writer stay-at-home dad originally,unemployed,1
verbal identity consultant,consultant,1
veterinary ophthalmologist,veterinary ophthalmologist,1
veterinary technician,technician,1
video production specialist,specialist,1
violin viola teacher,teacher,1
virologist,virologist,1
volunteer storyteller,volunteer,1
waste reduction specialist,specialist,1
water exercise instructor,teacher,1
web product manager,manager,1
web production manager,manager,1
wedding videographer stay-at-home dad,unemployed,1
wildlife technician,technician,1
wine club concierge,wine club concierge,1
wine salesman,wine salesman,1
wine spirits distributor,wine spirits distributor,1
women's health nurse practitioner,misc health,1
worker e-learning company,worker e-learning company,1
writer director,director,1
writer mom,mom,1
writer musician,writer,1
writer producer,writer,1
writer retail clerk,writer,1
writer retail sales associate,writer,1
writer stay-at-home mom,unemployed,1
writer/editor,writer,1
yarn purveyor,yarn purveyor,1
vegan cheesemaker,vegan cheesemaker,1
valuation analyst,analyst,1
user interface designer,artist/designer,1
user experience designer,artist/designer,1
technology director,director,1
technology strategist,technology strategist,1
telecommunications technician,technician,1
telemetry technician,technician,1
tequila tour manager,manager,1
test prep instructor,teacher,1
test reader evaluator,test reader evaluator,1
theater artist,artist/designer,1
theater artist originally,unemployed,1
theater director,director,1
theater technician,technician,1
theoretical physicist,theoretical physicist,1
therapeutic humorist,therapeutic humorist,1
senior research engineer,student,1
think tank researcher,scientist,1
traffic engineer,engineer,1
transportation planner,transportation planner,1
travel adviser,travel adviser,1
trivia writer,writer,1
trust officer,trust officer,1
tutor musician,tutor musician,1
tutor recreation facilitator,tutor recreation facilitator,1
u.s. air force logistics readiness officer,military officer,1
u.s. air force munitions officer originally,unemployed,1
university communications director,director,1
university instructor,teacher,1
university librarian,librarian,1
university registrar,university registrar,1
tour guide,tour guide,1
senior manager call center operations,manager,1
senior louisiana state university,student,1
senior lehigh university,student,1
quilt teacher retired legal secretary,unemployed,1
quiz host writer,writer,1
rabbi,rabbi,1
radiologist,radiologist,1
ranch hand,ranch hand,1
real estate attorney,attorney,1
real estate marketer,real estate marketer,1
realtor,realtor,1
realtor stay-at-home mom,unemployed,1
recent college graduate,grad student,1
recent law school graduate,grad student,1
recruiter originally,unemployed,1
reference librarian,librarian,1
regional human resources manager,manager,1
regulatory research counsel,scientist,1
relationship manager,manager,1
relationship marketing specialist stay-at-home mom,unemployed,1
renewable energy manager,manager,1
rental coordinator,coordinator,1
resale store manager,manager,1
research analyst,scientist,1
research assistant student originally,unemployed,1
research chemist originally,unemployed,1
research consultant,scientist,1
research lab manager originally,unemployed,1
research manager,manager,1
research microbiologist,scientist,1
quality improvement specialist originally,unemployed,1
quality control specialist,specialist,1
quality assurance coordinator,coordinator,1
quality assurance auditor,quality assurance auditor,1
production company associate originally,unemployed,1
production coordinator,coordinator,1
production manager,manager,1
professor art history,artist/designer,1
professor management,professor,1
program analyst,analyst,1
program manager,manager,1
programmer,programmer,1
proofreader virtual assistant,proofreader virtual assistant,1
proposal manager,manager,1
proposal writer,writer,1
prosecutor,prosecutor,1
psychiatrist,psychiatrist,1
residential manager,manager,1
psychometrician,psychometrician,1
public accountant,public accountant,1
public affairs manager,manager,1
public education consultant,consultant,1
public health doctor,misc health,1
public health graduate student,misc health,1
public interest attorney,attorney,1
public interest attorney originally,unemployed,1
public librarian,librarian,1
public transportation consultant,consultant,1
publisher,publisher,1
purchasing clerk,purchasing clerk,1
quality analyst,analyst,1
quality assurance analyst,analyst,1
psychotherapist,psychotherapist,1
graduate student physics,grad student,1
restaurant manager,manager,1
retail assistant manager originally,unemployed,1
retired technical trainer,unemployed,1
retired u.s. navy captain astronaut,unemployed,1
risk analytics manager,manager,1
risk manager,manager,1
rock musician,rock musician,1
sales analyst,analyst,1
sales associate,sales associate,1
sales coordinator,coordinator,1
sales manager,manager,1
sales representative,sales representative,1
sales support specialist,specialist,1
salesman,salesman,1
scholarship program director,director,1
school administrator,school administrator,1
school media specialist,specialist,1
school secretary,school secretary,1
school service assistant,school service assistant,1
science writer,writer,1
scientist,scientist,1
scrummaster,scrummaster,1
semi-retired educator,unemployed,1
senior ball state university,student,1
senior business systems analyst,student,1
senior computer science researcher,student,1
senior data engineer,student,1
senior duke university,student,1
senior lawrence university,student,1
retired technical editor,unemployed,1
retired software engineer,unemployed,1
retired registered nurse,unemployed,1
retired railroad analyst,unemployed,1
retail sales associate,retail sales associate,1
retired accounting instructor,unemployed,1
retired actor,unemployed,1
retired actuary,unemployed,1
retired air traffic controller,unemployed,1
retired army master sergeant,unemployed,1
retired attorney,unemployed,1
retired business property manager,unemployed,1
retired chemistry teacher,unemployed,1
retired civil servant,unemployed,1
retired computer consultant,unemployed,1
retired consultant,unemployed,1
retired database administrator,unemployed,1
restaurant owner,restaurant owner,1
retired educator,unemployed,1
retired high school teacher,unemployed,1
retired insurance broker,unemployed,1
retired lawyer software developer,unemployed,1
retired library assistant,unemployed,1
retired management consultant,unemployed,1
retired mental health professional,unemployed,1
retired middle school teacher,unemployed,1
retired navy medical specialist,unemployed,1
retired ob/gyn physician,unemployed,1
retired operations manager,unemployed,1
retired pathologist,unemployed,1
retired physician,unemployed,1
retired professor,unemployed,1
retired federal employee,unemployed,1
graduate student medieval history,grad student,1
k-12 school administrator,k-12 school administrator,1
bookkeeper,bookkeeper,1
communications executive,manager,1
editor monthly newspaper,reporter,1
editor originally,unemployed,1
commercial real estate broker,commercial real estate broker,1
editor stay-at-home parent,unemployed,1
commercial property manager,manager,1
commercial photographer,commercial photographer,1
antiques dealer,antiques dealer,1
editorial project manager,manager,1
anesthesiologist,anesthesiologist,1
education consultant,consultant,1
commercial insurance broker,commercial insurance broker,1
educational researcher,scientist,1
educational therapist,educational therapist,1
comedy writer originally,unemployed,1
eighth grade history teacher,grad student,1
comedy writer,writer,1
editor graduate student public health,misc health,1
color scientist,scientist,1
baker barista,baker barista,1
appellate attorney,attorney,1
compliance manager,manager,1
audio engineer,engineer,1
compliance executive,manager,1
draft equipment salesman,draft equipment salesman,1
author educator,author,1
e-commerce blogger,e-commerce blogger,1
community organizer,community organizer,1
community college professor,professor,1
archaeologist foundation executive director,director,1
community college english professor,professor,1
aquatic veterinarian,aquatic veterinarian,1
early childhood educator,teacher,1
economic development professional,economic development professional,1
auto repair shop service manager,manager,1
communications specialist,specialist,1
awards program manager,manager,1
baker,baker,1
communications marketing manager,manager,1
compliance technician,technician,1
analytics director,director,1
analytical chemist,analytical chemist,1
affordable housing development analyst,analyst,1
aerospace consultant,consultant,1
college history teacher,teacher,1
english instructor,teacher,1
english instructor administrator,teacher,1
college geography instructor,teacher,1
college counselor,advisor,1
advertising executive originally,unemployed,1
advertiser account representative,advertiser account representative,1
adventure travel writer,writer,1
english second language instructor originally,unemployed,1
college admissions counselor,advisor,1
adventure specialist,specialist,1
administrator female-centric website,administrator female-centric website,1
english teacher originally,unemployed,1
banker financial analyst,analyst,1
entertainment editor,entertainment editor,1
college journalism teacher,teacher,1
analytics consultant,consultant,1
engineering graduate student,grad student,1
engineer originally,unemployed,1
college teacher,teacher,1
elections administrator,elections administrator,1
americorps recruiter,americorps recruiter,1
alcohol lawyer,lawyer,1
elementary school administrator,elementary school administrator,1
elementary school counselor,advisor,1
college student,student,1
elementary school math teacher,teacher,1
college program administrator,college program administrator,1
emergency physician,emergency physician,1
emergency room nurse,nurse,1
employee benefits attorney,attorney,1
employee benefits consultant,consultant,1
energy trader,energy trader,1
airline operations specialist,specialist,1
college professor writer,writer,1
engineer off-grid homesteader,engineer,1
air traffic controller,air traffic controller,1
administrator,administrator,1
architectural conservator,architect,1
architectural design associate,architect,1
associate director annual giving,director,1
customer due-diligence specialist originally,unemployed,1
customer experience advisor,advisor,1
corporate controller,corporate controller,1
customer service representaive,customer service representaive,1
aspiring teacher,teacher,1
cybersecurity research director,director,1
dancer,dancer,1
controls engineer,engineer,1
data analytics manager,manager,1
data engineer,engineer,1
data repair technician,technician,1
asl interpreter,asl interpreter,1
data specialist,specialist,1
controller,controller,1
database administrator,database administrator,1
database coordinator,coordinator,1
curriculum development program manager,manager,1
associate professor computer science,professor,1
curriculum designer originally,unemployed,1
curator,curator,1
correctional librarian,librarian,1
corporate tax attorney,misc government,1
country western dance instructor,teacher,1
assistant office manager,manager,1
courier,courier,1
corporate tax analyst,misc government,1
assistant editor,assistant editor,1
course logistics specialist,specialist,1
corporate strategy manager,manager,1
corporate strategist originally,unemployed,1
corporate intelligence analyst,analyst,1
crafter,crafter,1
assistant analyst,analyst,1
criminal defense lawyer,lawyer,1
corporate finance manager,manager,1
criminal immigration defense lawyer,lawyer,1
assistant secretary colorado senate,assistant secretary colorado senate,1
aspiring writer poet,writer,1
doctoral candidate anthropology,doctor,1
associate professor political science,professor,1
associate teaching professor,professor,1
art director,artist/designer,1
director analytics,director,1
director business development,director,1
director college research center,director,1
director communications,director,1
art dealer,artist/designer,1
director compensation,director,1
army public affairs chief originally,unemployed,1
director compliance investigations,director,1
consulting electrical engineer,engineer,1
director contemporary arts center,artist/designer,1
director religious education,director,1
botanical artist,artist/designer,1
attorney municipal judge,lawyer,1
distribution associate,distribution associate,1
composition lecturer,teacher,1
dj music journalist,journalist,1
art historian college professor,artist/designer,1
daylight engineer stay-at-home dad,unemployed,1
digital media specialist,specialist,1
astrophysicist,astrophysicist,1
defense consultant navy reserve officer,military officer,1
delivery driver part-time actor,artist/designer,1
arts marketer,artist/designer,1
astronomer,astronomer,1
developer consultant,consultant,1
contract attorney stay-at-home mom,unemployed,1
contract analyst,analyst,1
arts editor reporter,reporter,1
development assistant data analyst,analyst,1
development officer,development officer,1
dialect coach,dialect coach,1
content manager,manager,1
content editor,content editor,1
artist business consultant,artist/designer,1
consumer insights manager,manager,1
digital fashion editor,digital fashion editor,1
digital marketer,digital marketer,1
digital marketer originally,unemployed,1
entertainment litigation attorney,attorney,1
engineering ph.d. student,grad student,1
college administrator,college administrator,1
freelancer,freelancer,1
certified massage therapist,certified massage therapist,1
cellar hand,cellar hand,1
biomedical scientist,scientist,1
academic advisor,advisor,1
abuse prevention educator,teacher,1
catastrophe modeler,catastrophe modeler,1
cashier,cashier,1
career counselor,advisor,1
freshman northwestern university,student,1
freshman san francisco state university,student,1
8th grade science teacher,grad student,1
8th grade language arts teacher,artist/designer,1
business technology integration consultant,consultant,1
fund raising professional consultant,consultant,1
academic competition director,director,1
freelance writer researcher,scientist,1
certified opthalmic assistant,certified opthalmic assistant,1
biomedical engineer,engineer,1
football coach tutor,football coach tutor,1
benefits analyst,analyst,1
accounting manager,manager,1
chemical engineer consulting renewable energy,engineer,1
accountant mom,mom,1
billing coordinator,coordinator,1
chef originally,unemployed,1
fundraising data analyst,analyst,1
account manager,manager,1
account executive originally,unemployed,1
biology student,student,1
account executive,manager,1
freelance editor,freelance editor,1
academic librarian,librarian,1
academic director,director,1
freelance political consultant,consultant,1
entertainment news editor,entertainment news editor,1
7th 8th grade social studies teacher,grad student,1
fundraising manager,manager,1
business technology consultant,consultant,1
government relations professional,misc government,1
government secretary,misc government,1
grad student navy reserve officer,military officer,1
business developer,business developer,1
12th grade english language arts teacher,artist/designer,1
business consultant,consultant,1
graduate student chemical engineering,grad student,1
business developer originally,unemployed,1
graduate student clinical psychology,grad student,1
graduate student health data specialist,misc health,1
10th grade english teacher,grad student,1
graduate student instructor,grad student,1
budget analyst,analyst,1
broadcast journalist,journalist,1
graduate student instructor originally,unemployed,1
brand manager,manager,1
11th grade u.s. history teacher keller,grad student,1
food truck owner,food truck owner,1
government law librarian,misc government,1
global talent management associate originally,unemployed,1
6th-12th grade choir teacher,grad student,1
furniture store manager,manager,1
future law student,student,1
business systems analyst,analyst,1
business strategist,business strategist,1
games editor,games editor,1
garden designer,artist/designer,1
government attorney,misc government,1
business manager originally,unemployed,1
6th grade teacher,grad student,1
4th grade language arts teacher,artist/designer,1
geophysicist,geophysicist,1
1st grade teacher,grad student,1
business development manager originally,unemployed,1
glazier,glazier,1
business development manager,manager,1
gas turbine repair operations manager,manager,1
chemistry tutor,chemistry tutor,1
chef educator,chef,1
civil engineer,engineer,1
client service specialist,specialist,1
family medical physician,family medical physician,1
baseball writer originally,unemployed,1
claims examiner,claims examiner,1
claims adjudicator,claims adjudicator,1
family physician,family physician,1
family practice physician,family practice physician,1
actor producer,actor producer,1
civil servant,civil servant,1
fitness instructor,teacher,1
fashion buyer,fashion buyer,1
fertilizer market manager,manager,1
fiber artist,artist/designer,1
film data coordinator,coordinator,1
film publicist,film publicist,1
film student originally,unemployed,1
children's book review editor,children's book review editor,1
executive director educational foundation,director,1
executive director,director,1
actuarial consultant,consultant,1
actuarial recruiter,actuarial recruiter,1
environmental educator originally,unemployed,1
administrative professional,administrative professional,1
environmental engineer consultant,engineer,1
environmental lawyer,lawyer,1
cocktail bartender,artist/designer,1
environmental scientist,scientist,1
adjunct professor history american studies,professor,1
closed captioner originally,unemployed,1
filmmaker writer originally,unemployed,1
ergonomist,ergonomist,1
clinical social worker,clinical social worker,1
acupuncturist,acupuncturist,1
actuary originally,unemployed,1
evolutionary anthropologist,evolutionary anthropologist,1
clinical research coordinator originally,unemployed,1
clinical psychologist,clinical psychologist,1
executive administrator,manager,1
client services director,director,1
adjunct professor,professor,1
finance analyst,analyst,1
assistant principal high school blind,misc education,1
chief operations,chief operations,1
financial trader,financial trader,1
financial risk consultant,consultant,1
financial analyst originally,unemployed,1
financial services executive,manager,1
firefighter,firefighter,1
children's book author originally,unemployed,1
finance system manager,manager,1
financial services officer,financial services officer,1
financial software consultant,consultant,1
chief financial officer,chief financial officer,1
fishmonger,fishmonger,1
accounting professor,professor,1
senior dartmouth college,artist/designer,2
purchasing manager,manager,2
shovel bum,shovel bum,2
college instructor,teacher,2
ph.d. student physics originally,unemployed,2
copy editor,copy editor,2
blogger,blogger,2
community volunteer,volunteer,2
resident physician,resident physician,2
researcher,scientist,2
senior columbia university,student,2
ph.d. student architectural history,grad student,2
performance manager,manager,2
research associate,scientist,2
college composition instructor,teacher,2
collaboration solution specialist,specialist,2
radio copywriter voiceover announcer,writer,2
communications professional,communications professional,2
retired postal clerk,unemployed,2
chemist,chemist,2
bond analyst,analyst,2
retiree,retiree,2
professor political science,professor,2
social studies teacher,teacher,2
coast guard helicopter mechanic originally,unemployed,2
social security administration attorney,attorney,2
professor public health bioethics,misc health,2
ph.d. candidate microbiology originally,unemployed,2
real estate agent,real estate agent,2
coalition director originally,unemployed,2
scientific editor,scientific editor,2
board game designer,artist/designer,2
communications manager boxing writer,manager,2
senior georgetown university,student,2
seventh grader,grad student,2
captioner,captioner,2
content developer,content developer,2
senior northeastern university,student,2
police captain,police captain,2
retired college professor,unemployed,2
consultant rideshare driver,consultant,2
cashier writer,writer,2
beer wholesaler,beer wholesaler,2
policy analyst originally,unemployed,2
character trainer originally,unemployed,2
children’s librarian,librarian,2
children's librarian,librarian,2
biomedical science teacher,teacher,2
political science professor,professor,2
children's book managing editor,children's book managing editor,2
retired convenience store manager,unemployed,2
senior managing editor,student,2
graduate student law social work,grad student,2
retired cpa,unemployed,2
product marketing manager,manager,2
consulting engineer,engineer,2
compliance engineer originally,unemployed,2
pharmacy student,student,2
restaurant manager originally,unemployed,2
public radio reporter,reporter,2
behavior analyst,analyst,2
author administrative assistant,author,2
communications director,director,2
retired engineer,unemployed,2
retail store owner,retail store owner,2
scoring director,director,2
comptroller,comptroller,2
rehabilitation specialist,specialist,2
bioscience ph.d. program applicant,grad student,2
retailer,retailer,2
school librarian,librarian,2
program analyst originally,unemployed,2
graduate student library science,grad student,2
software q.a. lead,software q.a. lead,2
trademark attorney,attorney,2
training system manager,manager,2
family assessment writer,writer,2
investment professional,investment professional,2
investment banking analyst,analyst,2
investment banker strategy consultant,consultant,2
travel agent,travel agent,2
travel media editor,travel media editor,2
junior caltech,student,2
internal medicine physician originally,unemployed,2
actor grants analyst,analyst,2
instructional designer curriculum developer,artist/designer,2
tv news producer originally,unemployed,2
filmmaker author,author,2
finance manager,manager,2
accounting service representative,accounting service representative,2
financial planner,financial planner,2
immigration attorney,attorney,2
internal customer service manager,manager,2
i.t. consultant,consultant,2
adjunct physics instructor stay-at-home mom,unemployed,2
epidemiologist,epidemiologist,2
airline pilot,airline pilot,2
elementary school special education teacher,teacher,2
energy engineer,engineer,2
assistant professor psychology,professor,2
technical services librarian,librarian,2
technical support analyst,analyst,2
technical writer actress,writer,2
aerospace engineer,engineer,2
equity analyst,analyst,2
technology consultant,consultant,2
layout artist,artist/designer,2
law school graduate,grad student,2
law library director law professor,director,2
landscaper,landscaper,2
environmental compliance manager,manager,2
kindergarten teacher,artist/designer,2
k-12 technology teacher,teacher,2
k-12 gifted talented teacher,teacher,2
leadership trainer,leadership trainer,2
major account manager originally,unemployed,2
foreign service officer,foreign service officer,2
forensic scientist,scientist,2
high school english french teacher,misc education,2
high school choir teacher,misc education,2
6th grade u.s. history language arts teacher,artist/designer,2
high school art teacher,misc education,2
healthcare data analyst,misc health,2
health care consultant,misc health,2
global health consultant,misc health,2
government contractor,misc government,2
8th 12th grade math teacher,grad student,2
growth marketer,growth marketer,2
writer editor honda campus all-star challenge,writer,2
11th grade english creative writing teacher,grad student,2
writer-actor,writer,2
graduate student public affairs,grad student,2
graduate student poetry,grad student,2
graduate student philosophy,grad student,2
10th grade chemistry teacher,grad student,2
yoga instructor,teacher,2
graduate assistant,grad student,2
hr manager,manager,2
high school history psychology teacher,misc education,2
freshman north carolina state university,student,2
university honors program manager,manager,2
university lecturer,teacher,2
hospital pediatrician,hospital pediatrician,2
forklift operator,forklift operator,2
university literature instructor,teacher,2
fourth grade teacher,grad student,2
fragrance specialist,specialist,2
utility locator,utility locator,2
freshman nyu,student,2
history teacher,teacher,2
freelance writer editor,writer,2
academic assistant,academic assistant,2
high school special education teacher,misc education,2
video producer,video producer,2
high school principal,misc education,2
9th grade math teacher,grad student,2
freshman columbia university,student,2
virtual assistant,virtual assistant,2
freelance project manager,manager,2
teacher educator,teacher,2
library reference clerk,librarian,2
teacher composer,teacher,2
newspaper reporter,reporter,2
newspaper copy editor,reporter,2
newspaper columnist,reporter,2
stay-at-home dad lawyer,unemployed,2
navy jag,military officer,2
naval officer originally,unemployed,2
naval flight officer,naval flight officer,2
art history professor,artist/designer,2
strategy consultant,consultant,2
management production assistant,management production assistant,2
director semantic technology,director,2
montessori teacher,teacher,2
archivist originally,unemployed,2
architectural project manager,manager,2
architectural historian,architect,2
nonprofit communications director,nonprofit,2
middle school civics world history teacher,teacher,2
database developer,database developer,2
data translation coordinator,coordinator,2
payroll professional,payroll professional,2
pastor hospice chaplain,pastor hospice chaplain,2
paraprofessional,paraprofessional,2
sophomore northeastern university,student,2
painter handyman,painter handyman,2
cpa,cpa,2
creative director,director,2
operations support specialist,specialist,2
sophomore swarthmore college,artist/designer,2
sophomore university oklahoma,student,2
customer service manager,manager,2
office manager student,manager,2
office manager,manager,2
speechwriter,writer,2
nonprofit resource development specialist,nonprofit,2
nonprofit executive director,nonprofit,2
middle school band director,director,2
museum curator,museum curator,2
application scientist,scientist,2
medical coder,medical coder,2
e-discovery professional,e-discovery professional,2
mechanical engineer musician,engineer,2
mathematics professor,professor,2
systems analyst,analyst,2
middle high school drama teacher,misc education,2
economist,economist,2
