,full_name,First_Name,Last_Name,occupation,city,state,show_number,date,winner_flg,final_score,Gender,Year,flag_female,flag_male
16,Daniel Esch,Daniel,Esch,an editor and writer,San Bruno,California,7559,2017-06-22,0,100,male,2017,0,1
19,Stephanie Stein,Stephanie,Stein,an editor,Brooklyn,New York,7969,2019-04-11,0,6300,female,2019,1,0
20,Scott Krzywonos,Scott,Krzywonos,an editor,Levittown,Pennsylvania,7709,2018-03-01,0,5,male,2018,0,1
21,Amy Finkelstein,Amy,Finkelstein,an editor,Chicago,Illinois,7707,2018-02-27,0,100,female,2018,1,0
22,Chris Whalen,Chris,Whalen,an editor,Austin,Texas,7917,2019-01-29,1,14401,male,2019,0,1
24,Jesse Darland,Jesse,Darland,an editor,Charleston,South Carolina,7711,2018-03-05,0,19199,male,2018,0,1
25,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7633,2017-11-15,0,3187,male,2017,0,1
26,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7627,2017-11-07,0,11500,male,2017,0,1
27,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7422,2016-12-13,0,7800,male,2016,0,1
28,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7421,2016-12-12,1,5600,male,2016,0,1
29,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7420,2016-12-09,1,22600,male,2016,0,1
30,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7419,2016-12-08,1,7999,male,2016,0,1
31,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7418,2016-12-07,1,15000,male,2016,0,1
32,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7417,2016-12-06,1,8500,male,2016,0,1
33,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7416,2016-12-05,1,12800,male,2016,0,1
34,Tim Aten,Tim,Aten,an editor,Vermilion,Ohio,7415,2016-12-02,1,35000,male,2016,0,1
35,Bryna Fischer,Bryna,Fischer,an editor,Westlake Village,California,7311,2016-05-30,1,5599,female,2016,1,0
36,Pauline Sholtys,Pauline,Sholtys,an editor,Ansonia,Connecticut,7026,2015-03-16,0,14800,female,2015,1,0
37,Erich Johnson,Erich,Johnson,a musician and grad student,Brooklyn,New York,7962,2019-04-02,0,0,male,2019,0,1
38,David Moo,David,Moo,a cocktail bartender,Brooklyn,New York,7910,2019-01-18,0,11199,male,2019,0,1
39,Chelsea Hill,Chelsea,Hill,an administrative assistant,Brooklyn,New York,7900,2019-01-04,0,10800,female,2019,1,0
40,Alan Harrison,Alan,Harrison,an administrative assistant,Seattle,Washington,7706,2018-02-26,0,3199,male,2018,0,1
41,Alan Harrison,Alan,Harrison,an administrative assistant,Seattle,Washington,7705,2018-02-23,1,8509,male,2018,0,1
42,Alan Harrison,Alan,Harrison,an administrative assistant,Seattle,Washington,7704,2018-02-22,1,15201,male,2018,0,1
43,Michelle Chick,Michelle,Chick,an administrative assistant,Livonia,Michigan,6949,2014-11-27,0,7000,female,2014,1,0
44,Alexandra Whitehill Smith,Alexandra,Whitehill,an administrative assistant,Columbia,South Carolina,7185,2015-12-04,0,11399,female,2015,1,0
45,Debbi Hopkins,Debbi,Hopkins,an administrative assistant,Charleston,South Carolina,7384,2016-10-20,0,3799,female,2016,1,0
46,Debbi Hopkins,Debbi,Hopkins,an administrative assistant,Charleston,South Carolina,7383,2016-10-19,1,18300,female,2016,1,0
47,Bonnie Leih,Bonnie,Leih,an administrative assistant,Plumas Lake,California,7601,2017-10-02,0,2000,female,2017,1,0
48,Kelly Lasiter,Kelly,Lasiter,an administrative assistant,Granite City,Illinois,7573,2017-07-12,0,14400,female,2017,1,0
49,Kelly Lasiter,Kelly,Lasiter,an administrative assistant,Granite City,Illinois,7572,2017-07-11,1,22800,female,2017,1,0
50,Bonnie Megel,Bonnie,Megel,an administrative assistant,Grinnell,Iowa,7340,2016-07-08,0,21700,female,2016,1,0
51,Bonnie Megel,Bonnie,Megel,an administrative assistant,Grinnell,Iowa,7339,2016-07-07,1,31400,female,2016,1,0
52,Ernestine Gardner,Ernestine,Gardner,an administrative assistant,South Bend,Indiana,7142,2015-10-06,1,6000,female,2015,1,0
53,Ellie Jostad,Ellie,Jostad,a journalist,Brooklyn,New York,7890,2018-12-21,0,-2000,female,2018,1,0
54,Jennifer Chang,Jennifer,Chang,a journalist,Brooklyn,New York,7640,2017-11-24,0,9200,female,2017,1,0
55,Jennifer Chang,Jennifer,Chang,a journalist,Brooklyn,New York,7640,2017-11-24,0,9200,female,2017,1,0
56,Josh Stephens,Josh,Stephens,a journalist,Los Angeles,California,7945,2019-03-08,1,3199,male,2019,0,1
57,Roey Hadar,Roey,Hadar,a journalist,Arlington,Virginia,8039,2019-07-18,1,19600,male,2019,0,1
58,Roey Hadar,Roey,Hadar,a journalist,Arlington,Virginia,8038,2019-07-17,1,23600,male,2019,0,1
59,Jeff Lasky,Jeff,Lasky,a journalist,San Diego,California,8036,2019-07-15,0,1,male,2019,0,1
60,Kat Long,Kat,Long,a journalist,New York,New York,7794,2018-06-28,0,2001,female,2018,1,0
61,Jack Dickey,Jack,Dickey,a journalist,New York,New York,7734,2018-04-05,0,0,male,2018,0,1
62,Jack Dickey,Jack,Dickey,a journalist,New York,New York,7733,2018-04-04,1,16401,male,2018,0,1
63,Jack Dickey,Jack,Dickey,a journalist,New York,New York,7732,2018-04-03,1,30401,male,2018,0,1
64,Charlene Lee,Charlene,Lee,a journalist,Jersey City,New Jersey,7206,2016-01-04,0,8700,female,2016,1,0
65,Charlene Lee,Charlene,Lee,a journalist,Jersey City,New Jersey,7206,2016-01-04,0,8700,female,2016,1,0
66,Jay Hancock,Jay,Hancock,a journalist,Ellicott City,Maryland,7603,2017-10-04,0,14500,male,2017,0,1
67,Susan Corica,Susan,Corica,a journalist,Waterbury,Connecticut,7571,2017-07-10,0,4800,female,2017,1,0
68,Susan Corica,Susan,Corica,a journalist,Waterbury,Connecticut,7570,2017-07-07,1,15995,female,2017,1,0
69,Eric Doctor,Eric,Doctor,a graphic designer and teacher,Brooklyn,New York,7888,2018-12-19,0,2001,male,2018,0,1
71,Katherine Pisarro-Grant,Katherine,Pisarro-Grant,a verbal identity consultant,Brooklyn,New York,7784,2018-06-14,0,4399,female,2018,1,0
72,Tommy Fagin,Tommy,Fagin,an English teacher,Brooklyn,New York,7776,2018-06-04,0,1,male,2018,0,1
73,Amy Servat,Amy,Servat,an English teacher,Houston,Texas,7602,2017-10-03,0,0,female,2017,1,0
74,Justin Earnshaw,Justin,Earnshaw,an English teacher,Cheyenne,Wyoming,7689,2018-02-01,0,1200,male,2018,0,1
75,Nathan Flynn,Nathan,Flynn,an English teacher,Royal Oak,Michigan,7564,2017-06-29,1,17610,male,2017,0,1
76,Nathan Flynn,Nathan,Flynn,an English teacher,Royal Oak,Michigan,7563,2017-06-28,1,18001,male,2017,0,1
77,Denver Wade,Denver,Wade,an English teacher,Westfield,Indiana,7392,2016-11-01,0,11200,male,2016,0,1
78,Amy Williamson,Amy,Williamson,an English teacher,Hickory,North Carolina,6970,2014-12-26,0,9599,female,2014,1,0
79,Carolyn Walsh,Carolyn,Walsh,a software engineer,Brooklyn,New York,7749,2018-04-26,1,10600,female,2018,1,0
80,Steven Silverman,Steven,Silverman,a software engineer,Arlington,Virginia,8010,2019-06-07,0,2667,male,2019,0,1
81,Steven Green,Steven,Green,a software engineer,Millbrae,California,8034,2019-07-11,0,0,male,2019,0,1
82,Brian Panulla,Brian,Panulla,a software engineer,Portland,Oregon,7878,2018-12-05,0,21501,male,2018,0,1
83,Kellie Packwood,Kellie,Packwood,a software engineer,Austin,Texas,7583,2017-07-26,0,4400,female,2017,1,0
84,Kris Dages,Kris,Dages,a software engineer,Austin,Texas,7118,2015-07-22,0,5605,male,2015,0,1
85,Nabila Yusaf,Nabila,Yusaf,a software engineer,New York,New York,7692,2018-02-06,0,2399,female,2018,1,0
86,Todd DeFilippi,Todd,DeFilippi,a software engineer,Mountain View,California,7483,2017-03-08,0,2000,male,2017,0,1
87,Todd DeFilippi,Todd,DeFilippi,a software engineer,Mountain View,California,7482,2017-03-07,1,24583,male,2017,0,1
88,Chris Wong,Chris,Wong,a software engineer,Alexandria,Virginia,7838,2018-10-10,0,10960,male,2018,0,1
89,Bianca Benincasa,Bianca,Benincasa,a software engineer,Silver Spring,Maryland,7180,2015-11-27,0,9000,female,2015,1,0
90,Alan Lin,Alan,Lin,a software engineer,Riverside,California,7941,2019-03-04,0,32500,male,2019,0,1
91,Alan Lin,Alan,Lin,a software engineer,Riverside,California,7635,2017-11-17,0,400,male,2017,0,1
92,Alan Lin,Alan,Lin,a software engineer,Riverside,California,7634,2017-11-16,1,8800,male,2017,0,1
93,Alan Lin,Alan,Lin,a software engineer,Riverside,California,7633,2017-11-15,1,24401,male,2017,0,1
94,Alan Lin,Alan,Lin,a software engineer,Riverside,California,7628,2017-11-08,1,19610,male,2017,0,1
95,Shari Post,Shari,Post,a software engineer,Aurora,Colorado,7711,2018-03-05,0,9190,female,2018,1,0
96,Mark Ashton,Mark,Ashton,a software engineer,Elmhurst,Illinois,7716,2018-03-12,0,6000,male,2018,0,1
97,Mark Ashton,Mark,Ashton,a software engineer,Elmhurst,Illinois,7715,2018-03-09,1,29100,male,2018,0,1
98,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7522,2017-05-02,0,18700,male,2017,0,1
99,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7521,2017-05-01,1,14800,male,2017,0,1
100,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7520,2017-04-28,1,24400,male,2017,0,1
101,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7519,2017-04-27,1,19600,male,2017,0,1
102,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7518,2017-04-26,1,28800,male,2017,0,1
103,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7517,2017-04-25,1,12000,male,2017,0,1
104,Alan Lin,Alan,Lin,a software engineer,Santa Barbara,California,7516,2017-04-24,1,24000,male,2017,0,1
105,Gavin Mulligan,Gavin,Mulligan,a software engineer,Parker,Colorado,7437,2017-01-03,0,2,male,2017,0,1
106,Gavin Mulligan,Gavin,Mulligan,a software engineer,Parker,Colorado,7436,2017-01-02,1,15800,male,2017,0,1
107,Whitney Marshall,Whitney,Marshall,a software engineer,Overland Park,Kansas,6860,2014-06-13,0,3199,male,2014,0,1
108,Tony Langford,Tony,Langford,a software engineer,Roswell,Georgia,7140,2015-10-02,0,6200,male,2015,0,1
109,Alex Lopinto,Alex,Lopinto,a veterinary ophthalmologist,Brooklyn,New York,7729,2018-03-29,0,6700,male,2018,0,1
110,Matt Lisiecki,Matt,Lisiecki,an international development researcher,Brooklyn,New York,7712,2018-03-06,0,400,male,2018,0,1
111,Matt Lisiecki,Matt,Lisiecki,an international development researcher,Brooklyn,New York,7711,2018-03-05,1,19601,male,2018,0,1
112,Matt Lisiecki,Matt,Lisiecki,an international development researcher,Brooklyn,New York,7710,2018-03-02,1,14950,male,2018,0,1
113,Elizabeth Connor,Elizabeth,Connor,an art director,Brooklyn,New York,7688,2018-01-31,0,11600,female,2018,1,0
114,Joe Gaspard,Joe,Gaspard,an operations specialist,Brooklyn,New York,7649,2017-12-07,0,7999,male,2017,0,1
115,Alice Pelletier,Alice,Pelletier,a technical services associate,Brooklyn,New York,7646,2017-12-04,0,17700,female,2017,1,0
116,Rahul Jain,Rahul,Jain,a corporate strategy manager,Brooklyn,New York,7623,2017-11-01,0,3300,male,2017,0,1
117,Edgar Castillo,Edgar,Castillo,a digital media specialist,Brooklyn,New York,7618,2017-10-25,0,3,male,2017,0,1
118,Chelsea Feltman,Chelsea,Feltman,an opera singer and actor,Brooklyn,New York,7613,2017-10-18,0,8799,female,2017,1,0
119,Emily Wilson,Emily,Wilson,a nonprofit fundraising operations manager,Brooklyn,New York,7611,2017-10-16,0,19400,female,2017,1,0
120,Todd McCafferty,Todd,McCafferty,a compliance manager,Brooklyn,New York,7604,2017-10-05,0,0,male,2017,0,1
121,Megan Williams,Megan,Williams,a chief of operations,Brooklyn,New York,7564,2017-06-29,0,12400,female,2017,1,0
122,Jeremy Fassler,Jeremy,Fassler,a writer,Brooklyn,New York,7556,2017-06-19,0,5599,male,2017,0,1
123,Fritz Holznagel,Fritz,Holznagel,a writer,Somerville,Massachusetts,6787,2014-03-04,0,11603,male,2014,0,1
124,Bryan Rucker,Bryan,Rucker,a writer,Los Angeles,California,7805,2018-07-13,1,11800,male,2018,0,1
125,Nick Hurwitz,Nick,Hurwitz,a writer,Los Angeles,California,7795,2018-06-29,0,3600,male,2018,0,1
126,Jonah Platt,Jonah,Platt,a writer,Los Angeles,California,7706,2018-02-26,0,15798,male,2018,0,1
127,Melissa Fall,Melissa,Fall,a writer,Los Angeles,California,7645,2017-12-01,0,0,female,2017,1,0
128,Seth Madej,Seth,Madej,a writer,Los Angeles,California,7525,2017-05-05,0,1999,male,2017,0,1
129,Ben Smolen,Ben,Smolen,a writer,Los Angeles,California,7457,2017-01-31,0,10599,male,2017,0,1
130,Bob Harris,Bob,Harris,a writer,Los Angeles,California,6788,2014-03-05,0,0,male,2014,0,1
131,Kate Cox,Kate,Cox,a writer,Arlington,Virginia,7078,2015-05-27,1,1,female,2015,1,0
132,Ken Jennings,Ken,Jennings,a writer,Seattle,Washington,6840,2014-05-16,0,599,male,2014,0,1
133,Ken Jennings,Ken,Jennings,a writer,Seattle,Washington,6839,2014-05-15,1,7000,male,2014,0,1
134,Ken Jennings,Ken,Jennings,a writer,Seattle,Washington,6836,2014-05-12,1,30401,male,2014,0,1
135,Ken Jennings,Ken,Jennings,a writer,Seattle,Washington,6834,2014-05-08,1,40000,male,2014,0,1
136,Ken Jennings,Ken,Jennings,a writer,Seattle,Washington,6809,2014-04-03,1,23600,male,2014,0,1
137,Tom Nissley,Tom,Nissley,a writer,Seattle,Washington,6806,2014-03-31,0,13400,male,2014,0,1
138,Jim Royal,Jim,Royal,a writer,St. Louis,Missouri,8030,2019-07-05,0,1200,male,2019,0,1
139,Christine Schreck,Christine,Schreck,a writer,Berkeley,California,7360,2016-09-16,0,2799,female,2016,1,0
140,Mary Suárez,Mary,Suárez,a writer,New York,New York,7047,2015-04-14,0,6600,female,2015,1,0
141,Susan MacKay Smith,Susan,MacKay,a writer,Boulder,Colorado,7006,2015-02-16,0,0,female,2015,1,0
142,Rachel Snyder,Rachel,Snyder,a writer,Grand Rapids,Michigan,7520,2017-04-28,0,2000,female,2017,1,0
143,Rebecca Golden,Rebecca,Golden,a writer,Hamtramck,Michigan,7063,2015-05-06,0,10980,female,2015,1,0
144,Tiffany Brooks,Tiffany,Brooks,a writer,Norman,Oklahoma,7877,2018-12-04,0,0,female,2018,1,0
145,Christina Boyadjian,Christina,Boyadjian,a writer,Boston,Massachusetts,7408,2016-11-23,0,7000,female,2016,1,0
146,Lauren Kiehna,Lauren,Kiehna,a writer,Steeleville,Illinois,7801,2018-07-09,0,2399,female,2018,1,0
147,Lauren Kiehna,Lauren,Kiehna,a writer,Steeleville,Illinois,7800,2018-07-06,1,31601,female,2018,1,0
148,Shannan Younger,Shannan,Younger,a writer,Naperville,Illinois,7729,2018-03-29,0,16799,female,2018,1,0
151,Nan Bauer,Nan,Bauer,a writer,Brooklyn,Michigan,7619,2017-10-26,1,16600,female,2017,1,0
152,Nan Bauer,Nan,Bauer,a writer,Brooklyn,Michigan,7618,2017-10-25,1,14801,female,2017,1,0
153,Nan Bauer,Nan,Bauer,a writer,Brooklyn,Michigan,7617,2017-10-24,1,6799,female,2017,1,0
154,Nan Bauer,Nan,Bauer,a writer,Brooklyn,Michigan,7616,2017-10-23,1,15001,female,2017,1,0
155,Connie Rudd,Connie,Rudd,a writer,Coweta,Oklahoma,7580,2017-07-21,0,0,female,2017,1,0
156,Robert Weibezahl,Robert,Weibezahl,a writer,Westlake Village,California,7496,2017-03-27,0,11800,male,2017,0,1
157,Robert Weibezahl,Robert,Weibezahl,a writer,Westlake Village,California,7495,2017-03-24,1,11000,male,2017,0,1
158,Madeline Wilson,Madeline,Wilson,a writer,Akron,Ohio,7493,2017-03-22,0,1600,female,2017,1,0
159,Emily DeArdo,Emily,DeArdo,a writer,Reynoldsburg,Ohio,7346,2016-07-18,0,1800,female,2016,1,0
160,Sue Corbett,Sue,Corbett,a writer,Newport News,Virginia,7131,2015-09-21,0,2000,female,2015,1,0
161,Suzanne Vito,Suzanne,Vito,a writer,Albany,California,7122,2015-07-28,1,19200,female,2015,1,0
162,Suzanne Vito,Suzanne,Vito,a writer,Albany,California,7121,2015-07-27,1,9500,female,2015,1,0
163,Grace Riley,Grace,Riley,a writer,Fort Smith,Arkansas,6824,2014-04-24,0,18800,female,2014,1,0
165,Laura Schulman,Laura,Schulman,a public defender,Seattle,Washington,7999,2019-05-23,0,1200,female,2019,1,0
166,Megan Beesley,Megan,Beesley,a public defender,St. Louis,Missouri,7777,2018-06-05,0,2,female,2018,1,0
167,Angela Chuang,Angela,Chuang,a public defender,New York,New York,6924,2014-10-23,0,100,female,2014,1,0
168,Abigail Myers,Abigail,Myers,an education administrator,Brooklyn,New York,7503,2017-04-05,0,21000,female,2017,1,0
169,Abigail Myers,Abigail,Myers,an education administrator,Brooklyn,New York,7502,2017-04-04,1,10200,female,2017,1,0
170,Abigail Myers,Abigail,Myers,an education administrator,Brooklyn,New York,7501,2017-04-03,1,29000,female,2017,1,0
171,Adam Vesterholt,Adam,Vesterholt,an energy engineer,Brooklyn,New York,7497,2017-03-28,0,17601,male,2017,0,1
172,Adam Vesterholt,Adam,Vesterholt,an energy engineer,Brooklyn,New York,7496,2017-03-27,1,26801,male,2017,0,1
173,Rob Liguori,Rob,Liguori,a research editor,Brooklyn,New York,7481,2017-03-06,0,3599,male,2017,0,1
174,Rob Liguori,Rob,Liguori,a research editor,Brooklyn,New York,7480,2017-03-03,1,14000,male,2017,0,1
175,Rob Liguori,Rob,Liguori,a research editor,Brooklyn,New York,7479,2017-03-02,1,18600,male,2017,0,1
176,Rob Liguori,Rob,Liguori,a research editor,Brooklyn,New York,7478,2017-03-01,1,20400,male,2017,0,1
177,Rob Liguori,Rob,Liguori,a research editor,Brooklyn,New York,7477,2017-02-28,1,19601,male,2017,0,1
178,Sherri Cohen,Sherri,Cohen,a nonprofit writer and editor,Brooklyn,New York,7448,2017-01-18,0,199,female,2017,1,0
180,Erica Dreisbach,Erica,Dreisbach,a web developer,Chicago,Illinois,7370,2016-09-30,0,1,female,2016,1,0
181,Jayne Lady,Jayne,Lady,a web developer,Iowa City,Iowa,7157,2015-10-27,0,0,female,2015,1,0
182,Charlie Olsky,Charlie,Olsky,a film publicist,Brooklyn,New York,7376,2016-10-10,0,11800,male,2016,0,1
183,Bryn Keating,Bryn,Keating,an academic director,Brooklyn,New York,7375,2016-10-07,0,5800,male,2016,0,1
184,Beth Dunn,Beth,Dunn,a product demonstrator,Brooklyn,New York,7284,2016-04-21,0,100,female,2016,1,0
185,Marcus Lewis,Marcus,Lewis,a tutor,Brooklyn,New York,7162,2015-11-03,0,28800,male,2015,0,1
186,Marcus Lewis,Marcus,Lewis,a tutor,Brooklyn,New York,7161,2015-11-02,1,14399,male,2015,0,1
187,Alison Burke,Alison,Burke,a tutor,Brooklyn,New York,7143,2015-10-07,1,17396,female,2015,1,0
188,Adam Scholze,Adam,Scholze,a tutor,Pasadena,California,7796,2018-07-02,0,11995,male,2018,0,1
189,Alvin Chin,Alvin,Chin,a tutor,Highland Park,New Jersey,7018,2015-03-04,0,0,male,2015,0,1
190,Alvin Chin,Alvin,Chin,a tutor,Highland Park,New Jersey,7017,2015-03-03,1,32100,male,2015,0,1
191,Vicki Eastus,Vicki,Eastus,a law school professor and administrator,Brooklyn,New York,7136,2015-09-28,1,4200,female,2015,1,0
192,Eliza Thompson,Eliza,Thompson,an entertainment editor,Brooklyn,New York,7117,2015-07-21,0,0,female,2015,1,0
193,Rena Traube,Rena,Traube,a financial analyst originally,Brooklyn,New York,7103,2015-07-01,0,199,female,2015,1,0
196,Jill Locascio,Jill,Locascio,an academic librarian,Brooklyn,New York,7031,2015-03-23,0,7599,female,2015,1,0
197,Laura Gallo,Laura,Gallo,an internal medicine physician originally,Brooklyn,New York,7014,2015-02-26,1,13200,female,2015,1,0
198,Laura Gallo,Laura,Gallo,an internal medicine physician originally,Brooklyn,New York,7013,2015-02-25,1,8799,female,2015,1,0
199,Karen Ash,Karen,Ash,a business analyst,Brooklyn,New York,7006,2015-02-16,0,0,female,2015,1,0
200,Karen Ash,Karen,Ash,a business analyst,Brooklyn,New York,6995,2015-01-30,1,26000,female,2015,1,0
201,Karen Ash,Karen,Ash,a business analyst,Brooklyn,New York,6994,2015-01-29,1,23600,female,2015,1,0
203,Jeremy Reff,Jeremy,Reff,a business developer,Brooklyn,New York,6982,2015-01-13,0,1,male,2015,0,1
205,Krissy Brzycki,Krissy,Brzycki,an 11-year-old,Indianapolis,Indiana,6952,2014-12-02,1,10400,female,2014,1,0
206,Adam Barrow,Adam,Barrow,an 11-year-old,Greensboro,North Carolina,6952,2014-12-02,0,3,male,2014,0,1
207,Jake McCrory,Jake,McCrory,an 11-year-old,Pueblo,Colorado,6953,2014-12-03,1,4599,male,2014,0,1
208,Sarah Horvitz,Sarah,Horvitz,an attorney,Brooklyn,New York,6920,2014-10-17,0,1400,female,2014,1,0
209,Michelle Bruck,Michelle,Bruck,an attorney,Levittown,Pennsylvania,8043,2019-07-24,0,3000,female,2019,1,0
210,Tori Campbell,Tori,Campbell,an attorney,Chicago,Illinois,7852,2018-10-30,0,8200,female,2018,1,0
211,Tori Campbell,Tori,Campbell,an attorney,Chicago,Illinois,7851,2018-10-29,1,19601,female,2018,1,0
212,Tori Campbell,Tori,Campbell,an attorney,Chicago,Illinois,7850,2018-10-26,1,2198,female,2018,1,0
213,Jen Aronoff,Jen,Aronoff,an attorney,Chicago,Illinois,7837,2018-10-09,0,4199,female,2018,1,0
214,Dave Baltmanis,Dave,Baltmanis,an attorney,Chicago,Illinois,7797,2018-07-03,0,8207,male,2018,0,1
216,Nikhil Damle,Nikhil,Damle,an attorney,Torrance,California,7283,2016-04-20,0,799,male,2016,0,1
217,Liz Levin,Liz,Levin,an attorney,Los Angeles,California,7998,2019-05-22,0,-2400,female,2019,1,0
218,Alexander Schwab,Alexander,Schwab,an attorney,Los Angeles,California,7877,2018-12-04,0,8900,male,2018,0,1
219,Ben Goldstein,Ben,Goldstein,an attorney,Los Angeles,California,7875,2018-11-30,0,1400,male,2018,0,1
220,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7630,2017-11-10,0,0,male,2017,0,1
221,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7570,2017-07-07,0,13199,male,2017,0,1
222,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7569,2017-07-06,1,21601,male,2017,0,1
223,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7568,2017-07-05,1,18001,male,2017,0,1
224,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7567,2017-07-04,1,19200,male,2017,0,1
225,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7566,2017-07-03,1,26800,male,2017,0,1
226,Jon Eisenman,Jon,Eisenman,an attorney,Los Angeles,California,7565,2017-06-30,1,18300,male,2017,0,1
227,Cary Finkelstein,Cary,Finkelstein,an attorney,Los Angeles,California,7328,2016-06-22,0,7400,male,2016,0,1
228,David Greenberg,David,Greenberg,an attorney,Los Angeles,California,7281,2016-04-18,0,17200,male,2016,0,1
229,Aggie Lee,Aggie,Lee,an attorney,Los Angeles,California,6949,2014-11-27,0,3199,female,2014,1,0
230,Aggie Lee,Aggie,Lee,an attorney,Los Angeles,California,6948,2014-11-26,1,15800,female,2014,1,0
231,Steve Buechner,Steve,Buechner,an attorney,Los Angeles,California,6845,2014-05-23,0,1,male,2014,0,1
232,Julia Levine,Julia,Levine,an attorney,Los Angeles,California,6805,2014-03-28,0,9790,female,2014,1,0
233,Amanda Basta,Amanda,Basta,an attorney,Arlington,Virginia,7924,2019-02-07,0,6399,female,2019,1,0
234,Laura Miller,Laura,Miller,an attorney,Arlington,Virginia,7650,2017-12-08,0,19199,female,2017,1,0
235,John Avila,John,Avila,an attorney,Arlington,Virginia,7449,2017-01-19,0,8201,male,2017,0,1
236,John Avila,John,Avila,an attorney,Arlington,Virginia,7449,2017-01-19,0,8201,male,2017,0,1
237,John Avila,John,Avila,an attorney,Arlington,Virginia,7448,2017-01-18,1,2399,male,2017,0,1
238,John Avila,John,Avila,an attorney,Arlington,Virginia,7447,2017-01-17,1,24200,male,2017,0,1
239,John Avila,John,Avila,an attorney,Arlington,Virginia,7446,2017-01-16,1,14001,male,2017,0,1
240,Dana Desprois,Dana,Desprois,an attorney,Arlington,Virginia,7149,2015-10-15,0,800,female,2015,1,0
241,Cam Hoang,Cam,Hoang,an attorney,Minneapolis,Minnesota,7137,2015-09-29,0,6300,female,2015,1,0
242,Mackenzie Brooks,Mackenzie,Brooks,an attorney,San Diego,California,7582,2017-07-25,0,0,female,2017,1,0
243,Jennifer Blanton,Jennifer,Blanton,an attorney,San Diego,California,6870,2014-06-27,0,3399,female,2014,1,0
244,Jennifer Blanton,Jennifer,Blanton,an attorney,San Diego,California,6869,2014-06-26,1,18600,female,2014,1,0
245,Jennifer Blanton,Jennifer,Blanton,an attorney,San Diego,California,6868,2014-06-25,1,8799,female,2014,1,0
246,Jennifer Blanton,Jennifer,Blanton,an attorney,San Diego,California,6867,2014-06-24,1,29601,female,2014,1,0
247,Erin Williams,Erin,Williams,an attorney,St. Louis,Missouri,7425,2016-12-16,0,10800,female,2016,1,0
